,TLD,Alexa #,Domain #,Start Date,ASCII,Whois Server,Registry
71,�_ԍ��,1,31832,1/9/14,xn--io0a7i,whois.ngtld.cn,registry
72,center,48,31342,12/12/13,center,whois.donuts.co,registry
73,pics,253,31091,1/9/14,pics,whois.uniregistry.net,registry
74,bayern,2,30871,3/13/14,bayern,whois-dub.mm-registry.com,registry
75,��Ѝ��,1,30166,3/6/14,xn--rhqv96g,,registry
76,expert,29,28126,1/16/14,expert,whois.donuts.co,registry
77,world,31,28033,9/11/14,world,whois.donuts.co,registry
78,gift,13,26248,1/9/14,gift,whois.uniregistry.net,registry
79,agency,23,26006,1/9/14,agency,whois.donuts.co,registry
80,photo,12,25991,1/16/14,photo,whois.uniregistry.net,registry
81,flowers,1,25817,12/18/14,flowers,whois.uniregistry.net,registry
82,media,81,25549,4/3/14,media,whois.donuts.co,registry
83,amsterdam,3,24852,11/20/14,amsterdam,whois.nic.amsterdam,registry
84,bet,1,24677,7/16/15,bet,whois.afilias.net,registry
85,hamburg,4,24505,5/22/14,hamburg,whois.nic.hamburg,registry
86,koeln,2,24438,2/20/14,koeln,whois-fe1.pdt.koeln.tango.knipp.de,registry
87,technology,15,23960,11/8/13,technology,whois.donuts.co,registry
88,audio,15,23522,5/8/14,audio,whois.uniregistry.net,registry
89,ink,14,23301,2/27/14,ink,whois.nic.ink,registry
90,sexy,76,22843,11/8/13,sexy,whois.uniregistry.net,registry
91,global,41,22769,5/29/14,global,whois.nic.global,registry
92,��ܾϼ,NA,22716,6/5/14,xn--kput3i,whois.afilias-srs.net,registry
93,services,14,22177,4/3/14,services,whois.donuts.co,registry
94,press,66,21928,5/22/14,press,whois.nic.press,registry
95,black,10,21521,3/20/14,black,whois.afilias.net,registry
96,uno,14,20610,11/13/13,uno,whois.nic.uno,registry
97,paris,11,20572,3/27/14,paris,whois-paris.nic.fr,registry
98,academy,28,20279,12/12/13,academy,whois.donuts.co,registry
99,��ԍ���_�,NA,19477,12/12/13,xn--6qq986b3xl,whois.gtld.knet.cn,registry
100,international,6,19414,12/19/13,international,whois.donuts.co,registry
101,systems,18,18937,12/12/13,systems,whois.donuts.co,registry
102,education,21,18884,12/19/13,education,whois.donuts.co,registry
103,casa,4,18624,8/18/14,casa,whois-dub.mm-registry.com,registry
104,photos,16,18544,12/12/13,photos,whois.donuts.co,registry
105,ooo,16,18514,7/31/14,ooo,whois.nic.ooo,registry
106,love,7,18500,3/25/15,love,whois.nic.love,registry
107,diet,1,18406,8/15/14,diet,whois.uniregistry.net,registry
108,city,33,18295,7/3/14,city,whois.donuts.co,registry
109,moscow,23,17984,4/17/14,moscow,whois.nic.moscow,registry
110,��_����_�,NA,17923,12/19/13,xn--fiq228c5hs,whois.afilias-srs.net,registry
111,wiki,40,17702,2/6/14,wiki,whois.nic.wiki,registry
112,directory,17,17427,11/13/13,directory,whois.donuts.co,registry
113,events,15,17366,1/30/14,events,whois.donuts.co,registry
114,consulting,1,16986,1/30/14,consulting,whois.unitedtld.com,registry
115,training,13,16818,12/19/13,training,whois.donuts.co,registry
116,gallery,10,16815,11/8/13,gallery,whois.donuts.co,registry
117,support,16,16718,12/12/13,support,whois.donuts.co,registry
118,reviews,12,16715,2/6/14,reviews,whois.unitedtld.com,registry
119,social,43,16131,1/9/14,social,whois.unitedtld.com,registry
120,zone,42,16118,1/9/14,zone,whois.donuts.co,registry
121,run,9,15694,4/30/15,run,whois.donuts.co,registry
122,____��_�___�,5,15307,4/17/14,xn--80adxhks,whois.nic.xn--80adxhks,registry
