,TLD,Alexa #,Domain #,Start Date,ASCII,Whois Server,Registry
420,tickets,1,917,3/19/15,tickets,whois.nic.tickets,registry
421,theater,1,902,4/30/15,theater,whois.donuts.co,registry
422,voting,NA,901,1/16/14,voting,whois.voting.tld-box.at,registry
423,republican,1,797,5/29/14,republican,whois.rightside.co,registry
424,������_,1,776,5/15/14,xn--4gbrim,whois.afilias-srs.net,registry
425,creditcard,1,766,4/24/14,creditcard,whois.donuts.co,registry
426,study,2,701,2/19/15,study,whois.nic.study,registry
427,sarl,1,694,7/31/14,sarl,whois.donuts.co,registry
428,tires,1,681,12/11/14,tires,whois.donuts.co,registry
429,corsica,1,670,4/23/15,corsica,whois-corsica.nic.fr,registry
430,istanbul,15,655,5/29/15,istanbul,whois.afilias-srs.net,registry
431,shiksha,4,608,1/16/14,shiksha,whois.afilias.net,registry
432,ist,1,603,5/29/15,ist,whois.afilias-srs.net,registry
433,qpon,NA,540,1/9/14,qpon,whois.nic.qpon,registry
434,organic,1,515,5/29/14,organic,whois.afilias.net,registry
435,osaka,2,489,12/4/14,osaka,whois.nic.osaka,registry
436,ryukyu,1,471,3/13/14,ryukyu,whois.nic.ryukyu,registry
437,navy,NA,443,5/29/14,navy,whois.rightside.co,registry
438,hiv,NA,440,5/22/14,hiv,whois.afilias-srs.net,registry
439,memorial,NA,420,11/20/14,memorial,whois.donuts.co,registry
440,markets,1,406,3/6/15,markets,whois.nic.markets,registry
441,auto,NA,394,3/12/15,auto,whois.uniregistry.net,registry
442,kyoto,1,390,1/8/15,kyoto,whois.nic.kyoto,registry
443,car,1,371,8/26/15,car,whois.uniregistry.net,registry
444,cars,1,362,3/12/15,cars,whois.uniregistry.net,registry
445,bible,1,343,5/14/15,bible,whois.nic.bible,registry
446,krd,4,331,7/10/14,krd,whois.aridnrs.net.au,registry
447,airforce,NA,320,4/17/14,airforce,whois.unitedtld.com,registry
448,�ϼ�_�,NA,315,2/27/14,xn--nqv7f,whois.publicinterestregistry.net,registry
449,ltda,1,295,7/3/14,ltda,whois.afilias-srs.net,registry
450,voto,NA,286,2/13/14,voto,whois.afilias.net,registry
451,trading,NA,276,3/6/15,trading,whois.nic.trading,registry
452,�����_����,NA,230,2/6/14,xn--mgbab2bd,whois.bazaar.coreregistry.net,registry
453,promo,NA,206,12/18/15,promo,whois.afilias.net,registry
454,abogado,NA,204,7/10/14,abogado,whois-dub.mm-registry.com,registry
455,��_���,NA,196,1/9/14,xn--fiq64b,whois.gtld.knet.cn,registry
456,security,NA,195,9/3/15,security,whois.nic.security,registry
457,������,NA,167,2/5/15,xn--vuq861b,whois.ngtld.cn,registry
458,wed,NA,163,12/12/13,wed,whois.nic.wed,registry
459,reit,NA,155,10/23/14,reit,whois.nic.reit,registry
460,broker,1,148,3/6/15,broker,whois.nic.broker,registry
461,nra,NA,144,7/10/14,nra,whois.afilias-srs.net,registry
462,pharmacy,2,133,8/28/14,pharmacy,whois.nic.pharmacy,registry
463,boats,NA,132,2/13/15,boats,whois.afilias-srs.net,registry
464,citic,2,132,4/17/14,citic,whois.nic.citic,registry
465,theatre,NA,131,8/13/15,theatre,whois.nic.theatre,registry
466,vip,NA,111,7/30/15,vip,whois-dub.mm-registry.com,registry
467,yachts,NA,99,5/1/14,yachts,whois.afilias-srs.net,registry
468,seat,NA,98,3/6/15,seat,whois.nic.seat,registry
469,�_��_�_ш_ʈ_�,NA,94,2/27/14,xn--i1b6b1a6a2e,whois.publicinterestregistry.net,registry
470,bradesco,1,91,5/29/15,bradesco,whois-cl01.mm-registry.com,registry
471,�_����,NA,85,7/24/14,xn--xhq521b,whois.ngtld.cn,registry
472,lotto,NA,84,6/5/14,lotto,whois.afilias.net,registry
473,cancerresearch,NA,83,6/19/14,cancerresearch,whois.nic.cancerresearch,registry
474,abbott,1,79,11/20/14,abbott,whois.afilias-srs.net,registry
475,rich,NA,79,1/16/14,rich,whois.afilias-srs.net,registry
476,bloomberg,NA,77,10/16/14,bloomberg,whois.nic.bloomberg,registry
477,weir,1,76,4/2/15,weir,whois.nic.weir,registry
478,barclays,1,75,1/8/15,barclays,whois.nic.barclays,registry
479,hoteles,NA,73,5/14/15,hoteles,whois.nic.hoteles,registry
480,�_݌��,NA,69,7/17/14,xn--1qqw23a,whois.ngtld.cn,registry
481,leclerc,3,65,1/29/15,leclerc,whois-leclerc.nic.fr,registry
482,protection,NA,65,8/13/15,protection,whois.nic.protection,registry
483,whoswho,1,65,6/12/14,whoswho,whois.nic.whoswho,registry
484,forex,1,61,3/6/15,forex,whois.nic.forex,registry
485,mom,NA,59,8/13/15,mom,whois.uniregistry.net,registry
486,globo,1,57,2/20/14,globo,whois.gtlds.nic.br,registry
487,trust,1,51,11/26/14,trust,whois.nic.trust,registry
488,linde,NA,46,9/3/15,linde,whois.nic.linde,registry
489,��ǌ�_,NA,43,11/6/14,xn--45q11c,whois.nic.xn--45q11c,registry
490,firmdale,NA,42,9/4/14,firmdale,whois.nic.firmdale,registry
491,uol,1,39,8/7/14,uol,whois.gtlds.nic.br,registry
492,sky,1,36,10/2/14,sky,whois.nic.sky,registry
493,mango,1,33,1/23/14,mango,whois.mango.coreregistry.net,registry
494,microsoft,1,32,4/30/15,microsoft,whois.nic.microsoft,registry
495,shriram,NA,32,12/4/14,shriram,whois.afilias-srs.net,registry
496,pictet,1,30,1/8/15,pictet,whois.nic.pictet,registry
497,audi,NA,28,11/12/15,audi,whois.afilias-srs.net,registry
498,bentley,NA,26,5/14/15,bentley,whois.nic.bentley,registry
499,sener,NA,26,4/2/15,sener,whois.nic.sener,registry
500,windows,1,26,4/30/15,windows,whois.nic.windows,registry
501,mini,NA,25,6/5/14,mini,whois.ksregistry.net,registry
502,ice,2,23,7/9/15,ice,whois.nic.ice,registry
503,aig,NA,22,4/9/15,aig,whois.nic.aig,registry
504,cisco,1,21,4/16/15,cisco,whois.nic.cisco,registry
505,neustar,NA,21,2/6/14,neustar,whois.nic.neustar,registry
506,abb,NA,20,4/9/15,abb,whois.nic.abb,registry
507,man,NA,20,2/27/15,man,whois.nic.man,registry
508,monash,1,20,1/9/14,monash,whois.nic.monash,registry
509,obi,NA,20,9/3/15,obi,whois.nic.obi,registry
510,������,NA,20,3/12/15,xn--nyqy26a,,registry
511,bing,1,19,4/30/15,bing,whois.nic.bing,registry
512,philips,NA,19,2/5/15,philips,whois.nic.philips,registry
513,aquarelle,NA,18,11/6/14,aquarelle,whois-aquarelle.nic.fr,registry
514,azure,NA,17,4/30/15,azure,whois.nic.azure,registry
515,cern,3,17,8/13/14,cern,whois.afilias-srs.net,registry
516,chanel,NA,17,6/18/15,chanel,whois.nic.chanel,registry
517,saxo,1,17,1/15/15,saxo,whois.aridnrs.net.au,registry
518,xbox,NA,17,4/30/15,xbox,whois.nic.xbox,registry
519,symantec,NA,17,9/24/15,symantec,whois.nic.symantec,registry
520,aco,NA,16,7/16/15,aco,whois.afilias-srs.net,registry
521,axa,1,16,3/13/14,axa,whois.nic.axa,registry
522,yandex,1,16,7/10/14,yandex,whois.nic.yandex,registry
523,clubmed,NA,16,9/24/15,clubmed,whois.nic.clubmed,registry
524,csc,1,15,8/6/15,csc,whois.nic.csc,registry
525,nadex,NA,15,4/2/15,nadex,whois.nic.nadex,registry
526,hotmail,NA,14,4/30/15,hotmail,whois.nic.hotmail,registry
527,jprs,NA,14,12/18/14,jprs,whois.nic.jprs,registry
528,stada,NA,14,8/13/15,stada,whois.afilias-srs.net,registry
529,jaguar,NA,14,10/15/15,jaguar,whois.nic.jaguar,registry
530,rwe,NA,14,10/1/15,rwe,whois.nic.rwe,registry
531,barclaycard,2,13,1/8/15,barclaycard,whois.nic.barclaycard,registry
532,cba,1,13,3/26/15,cba,whois.nic.cba,registry
533,lupin,NA,13,3/19/15,lupin,whois.nic.lupin,registry
534,oracle,NA,13,1/15/15,oracle,whois.nic.oracle,registry
535,praxi,1,13,3/27/14,praxi,whois.nic.praxi,registry
536,arte,NA,13,9/24/15,arte,whois.nic.arte,registry
537,accenture,NA,12,4/30/15,accenture,whois.nic.accenture,registry
538,active,NA,12,6/19/14,active,whois.afilias-srs.net,registry
539,homes,NA,12,5/1/14,homes,whois.afilias-srs.net,registry
540,otsuka,NA,12,6/26/14,otsuka,whois.nic.otsuka,registry
541,realty,NA,12,6/11/15,realty,whois.nic.realty,registry
542,bbva,NA,11,4/23/15,bbva,whois.nic.bbva,registry
543,bmw,1,11,6/5/14,bmw,whois.ksregistry.net,registry
544,dvag,NA,11,9/18/14,dvag,whois.ksregistry.net,registry
545,foo,1,11,3/20/14,foo,domain-registry-whois.l.google.com,registry
546,google,11,11,9/4/14,google,domain-registry-whois.l.google.com,registry
547,lancaster,NA,11,6/18/15,lancaster,whois-lancaster.nic.fr,registry
548,sanofi,NA,11,7/16/15,sanofi,whois.nic.sanofi,registry
549,sca,NA,11,7/17/14,sca,whois.nic.sca,registry
550,toray,NA,11,4/16/15,toray,whois.nic.toray,registry
551,williamhill,NA,11,7/3/14,williamhill,whois.nic.williamhill,registry
552,storage,NA,11,12/10/15,storage,whois.afilias-srs.net,registry
553,forum,NA,10,6/11/15,forum,whois.nic.forum,registry
554,frogans,NA,10,4/3/14,frogans,whois-frogans.nic.fr,registry
555,omega,NA,9,4/23/15,omega,whois.nic.omega,registry
556,aarp,NA,9,10/22/15,aarp,whois.nic.aarp,registry
557,shell,NA,9,11/6/15,shell,whois.nic.shell,registry
558,afl,NA,8,2/19/15,afl,whois.nic.afl,registry
559,crs,NA,8,8/28/14,crs,whois.nic.crs,registry
560,gmo,NA,8,2/27/14,gmo,whois.nic.gmo,registry
561,jcb,NA,8,1/8/15,jcb,whois.nic.gmo,registry
562,swatch,NA,8,4/23/15,swatch,whois.nic.swatch,registry
563,��_�����_,NA,8,2/13/15,xn--kcrx77d1x4a,whois.nic.xn--kcrx77d1x4a,registry
564,weber,NA,8,12/10/15,weber,whois.nic.weber,registry
565,cfa,NA,7,4/16/15,cfa,whois.nic.cfa,registry
566,dnp,NA,7,2/27/14,dnp,whois.nic.dnp,registry
567,emerck,1,7,9/11/14,emerck,whois.afilias-srs.net,registry
568,redstone,NA,7,3/6/15,redstone,whois.afilias-srs.net,registry
569,scb,1,7,6/26/14,scb,whois.nic.scb,registry
570,sew,NA,7,11/6/14,sew,whois.afilias-srs.net,registry
571,sncf,NA,7,5/8/15,sncf,whois-sncf.nic.fr,registry
572,spreadbetting,1,7,3/6/15,spreadbetting,whois.nic.spreadbetting,registry
573,������,NA,7,3/12/15,xn--30rr7y,whois.nic.wang,registry
574,�С���,NA,7,8/6/15,xn--efvy88h,whois.nic.xn--efvy88h,registry
575,norton,NA,7,9/24/15,norton,whois.nic.norton,registry
576,fox,NA,7,11/20/15,fox,whois.nic.fox,registry
577,cfd,NA,6,3/6/15,cfd,whois.nic.cfd,registry
578,crown,NA,6,6/4/15,crown,whois.nic.crown,registry
579,dabur,NA,6,1/15/15,dabur,whois.afilias-srs.net,registry
580,orange,2,6,6/18/15,orange,whois.nic.orange,registry
581,samsung,1,6,10/30/14,samsung,whois.nic.samsung,registry
582,sandvik,1,6,5/14/15,sandvik,whois.nic.sandvik,registry
583,walter,NA,6,5/14/15,walter,whois.nic.walter,registry
584,��_��,NA,6,12/12/13,xn--cg4bki,whois.kr,registry
585,bostik,NA,6,11/6/15,bostik,whois-bostik.nic.fr,registry
586,autos,NA,5,5/1/14,autos,whois.afilias-srs.net,registry
587,brother,NA,5,4/9/15,brother,whois.nic.brother,registry
588,maif,NA,5,2/13/15,maif,whois.nic.maif,registry
589,ntt,NA,5,1/8/15,ntt,whois.nic.ntt,registry
590,sap,1,5,3/19/15,sap,whois.nic.sap,registry
591,skype,NA,5,3/19/15,skype,whois.nic.skype,registry
592,sony,1,5,3/6/15,sony,whois.nic.sony,registry
593,sohu,NA,5,2/27/14,sohu,whois.nic.sohu,registry
594,mutuelle,NA,5,9/24/15,mutuelle,whois-mutuelle.nic.fr,registry
595,total,NA,5,2/5/16,total,whois-total.nic.fr,registry
596,bridgestone,NA,4,4/16/15,bridgestone,whois.nic.bridgestone,registry
597,eurovision,NA,4,8/28/14,eurovision,whois.nic.eurovision,registry
598,fage,NA,4,6/25/15,fage,whois.afilias-srs.net,registry
599,fan,NA,4,2/28/15,fan,whois.nic.fan,registry
600,komatsu,NA,4,3/6/15,komatsu,whois.nic.komatsu,registry
601,latrobe,NA,4,11/6/14,latrobe,whois.nic.latrobe,registry
602,motorcycles,NA,4,5/1/14,motorcycles,whois.afilias-srs.net,registry
603,mtn,NA,4,3/12/15,mtn,whois.nic.mtn,registry
604,suzuki,NA,4,6/26/14,suzuki,whois.nic.suzuki,registry
605,tatamotors,NA,4,7/16/15,tatamotors,whois.nic.tatamotors,registry
606,toshiba,NA,4,10/9/14,toshiba,whois.nic.toshiba,registry
607,toyota,NA,4,7/16/15,toyota,whois.nic.toyota,registry
608,wme,NA,4,8/22/14,wme,whois.nic.wme,registry
609,seven,NA,4,9/23/15,seven,whois.nic.seven,registry
610,volkswagen,NA,4,12/23/15,volkswagen,whois.nic.volkswagen,registry
611,aeg,NA,3,6/11/15,aeg,whois.nic.aeg,registry
612,canon,NA,3,1/29/15,canon,whois.nic.canon,registry
613,everbank,NA,3,7/31/14,everbank,whois.nic.everbank,registry
614,here,1,3,6/12/14,here,domain-registry-whois.l.google.com,registry
615,lidl,NA,3,12/4/14,lidl,whois.nic.lidl,registry
616,marriott,NA,3,12/18/14,marriott,whois.afilias-srs.net,registry
617,schmidt,NA,3,6/19/14,schmidt,whois.nic.schmidt,registry
618,schwarz,NA,3,12/4/14,schwarz,whois.nic.schwarz,registry
619,�_��_�,NA,3,5/8/15,xn--imr513n,,registry
620,xperia,NA,3,7/23/15,xperia,whois.nic.xperia,registry
621,mtr,NA,3,7/31/15,mtr,whois.nic.mtr,registry
622,amica,NA,3,8/6/15,amica,whois.nic.amica,registry
623,erni,NA,3,2/5/15,erni,whois.nic.erni,registry
624,dell,NA,3,4/30/15,dell,whois.nic.dell,registry
625,landrover,NA,3,10/15/15,landrover,whois.nic.landrover,registry
626,aaa,NA,2,8/13/15,aaa,whois.nic.aaa,registry
627,ads,2,2,2/5/15,ads,domain-registry-whois.l.google.com,registry
628,allfinanz,NA,2,9/25/14,allfinanz,whois.ksregistry.net,registry
629,app,15,2,6/25/15,app,whois.nic.google,registry
630,bbc,1,2,3/12/15,bbc,whois.nic.bbc,registry
631,bms,NA,2,9/10/15,bms,whois.nic.bms,registry
632,boo,1,2,6/12/14,boo,domain-registry-whois.l.google.com,registry
633,channel,NA,2,8/23/14,channel,domain-registry-whois.l.google.com,registry
634,dad,NA,2,6/12/14,dad,domain-registry-whois.l.google.com,registry
635,day,NA,2,6/12/14,day,domain-registry-whois.l.google.com,registry
636,eat,NA,2,6/12/14,eat,domain-registry-whois.l.google.com,registry
637,esq,NA,2,8/23/14,esq,domain-registry-whois.l.google.com,registry
638,fly,NA,2,8/23/14,fly,domain-registry-whois.l.google.com,registry
639,game,1,2,7/2/15,game,whois.uniregistry.net,registry
640,gbiz,NA,2,8/23/14,gbiz,domain-registry-whois.l.google.com,registry
641,genting,NA,2,6/11/15,genting,whois.nic.genting,registry
642,gmail,1,2,8/23/14,gmail,domain-registry-whois.l.google.com,registry
643,goo,3,2,2/13/15,goo,whois.nic.gmo,registry
644,group,5,2,7/30/15,group,whois.donuts.co,registry
645,hitachi,1,2,4/23/15,hitachi,whois.nic.gmo,registry
646,ing,NA,2,6/12/14,ing,domain-registry-whois.l.google.com,registry
647,jll,NA,2,5/14/15,jll,whois.afilias-srs.net,registry
648,lexus,NA,2,7/16/15,lexus,whois.nic.lexus,registry
649,ltd,1,2,8/6/15,ltd,whois.donuts.co,registry
650,meme,NA,2,6/12/14,meme,domain-registry-whois.l.google.com,registry
651,mov,NA,2,6/12/14,mov,domain-registry-whois.l.google.com,registry
652,nec,1,2,4/2/15,nec,whois.nic.nec,registry
653,netbank,NA,2,3/26/15,netbank,whois.nic.netbank,registry
654,new,1,2,6/12/14,new,domain-registry-whois.l.google.com,registry
655,nico,NA,2,2/5/15,nico,whois.nic.nico,registry
656,nokia,NA,2,4/23/15,nokia,whois.afilias-srs.net,registry
657,page,NA,2,2/5/15,page,domain-registry-whois.l.google.com,registry
658,prod,4,2,8/23/14,prod,domain-registry-whois.l.google.com,registry
659,prof,NA,2,9/4/14,prof,domain-registry-whois.l.google.com,registry
660,rsvp,NA,2,8/23/14,rsvp,domain-registry-whois.l.google.com,registry
661,vista,NA,2,6/4/15,vista,whois.nic.vista,registry
662,vistaprint,NA,2,6/4/15,vistaprint,whois.nic.vistaprint,registry
663,xerox,NA,2,4/2/15,xerox,whois.nic.xerox,registry
664,����_�,NA,2,7/17/14,xn--fjq720a,whois.donuts.co,registry
665,������,NA,2,10/21/13,xn--unup4y,whois.donuts.co,registry
666,youtube,1,2,8/23/14,youtube,domain-registry-whois.l.google.com,registry
667,zip,NA,2,8/23/14,zip,domain-registry-whois.l.google.com,registry
668,hermes,NA,2,10/30/14,hermes,whois.afilias-srs.net,registry
669,lamborghini,NA,2,11/12/15,lamborghini,whois.afilias-srs.net,registry
670,rocher,NA,2,9/10/15,rocher,whois.nic.rocher,registry
671,broadway,NA,2,10/8/15,broadway,whois-cl01.mm-registry.com,registry
672,bugatti,NA,2,11/12/15,bugatti,whois.afilias-srs.net,registry
673,insurance,NA,2,11/6/15,insurance,whois.nic.insurance,registry
674,med,1,2,11/12/15,med,whois.nic.med,registry
675,salon,NA,2,11/12/15,salon,whois.nic.salon,registry
676,statefarm,NA,2,11/6/15,statefarm,whois.nic.statefarm,registry
677,airtel,NA,1,6/18/15,airtel,whois.nic.airtel,registry
678,android,NA,1,10/30/14,android,domain-registry-whois.l.google.com,registry
679,bauhaus,NA,1,3/12/15,bauhaus,whois.nic.bauhaus,registry
680,bcn,NA,1,6/4/15,bcn,whois.nic.bcn,registry
681,bharti,NA,1,5/8/15,bharti,whois.nic.bharti,registry
682,bnl,NA,1,6/11/15,bnl,whois.afilias-srs.net,registry
683,bom,NA,1,5/29/15,bom,whois.gtlds.nic.br,registry
684,bond,NA,1,10/30/14,bond,whois.nic.bond,registry
685,boots,NA,1,6/18/15,boots,whois.nic.boots,registry
686,budapest,NA,1,2/28/14,budapest,whois-dub.mm-registry.com,registry
687,cal,NA,1,9/4/14,cal,domain-registry-whois.l.google.com,registry
688,caravan,NA,1,5/22/14,caravan,whois.nic.caravan,registry
689,cartier,NA,1,11/20/14,cartier,whois.nic.cartier,registry
690,cbn,NA,1,11/20/14,cbn,whois.nic.cbn,registry
691,ceb,NA,1,7/2/15,ceb,whois.afilias-srs.net,registry
692,chloe,NA,1,1/8/15,chloe,whois.nic.chloe,registry
693,chrome,NA,1,9/4/14,chrome,domain-registry-whois.l.google.com,registry
694,commbank,NA,1,3/26/15,commbank,whois.nic.commbank,registry
695,cuisinella,NA,1,6/19/14,cuisinella,whois.nic.cuisinella,registry
696,cyou,NA,1,3/19/15,cyou,whois.afilias-srs.net,registry
697,datsun,NA,1,7/10/14,datsun,whois.nic.gmo,registry
698,dclk,NA,1,1/8/15,dclk,domain-registry-whois.l.google.com,registry
699,delta,NA,1,6/25/15,delta,whois.afilias-srs.net,registry
700,dev,205,1,11/20/14,dev,domain-registry-whois.l.google.com,registry
701,docs,NA,1,11/20/14,docs,domain-registry-whois.l.google.com,registry
702,doha,NA,1,2/27/15,doha,whois.nic.doha,registry
703,drive,NA,1,6/4/15,drive,whois.nic.google,registry
704,epson,NA,1,2/19/15,epson,whois.aridnrs.net.au,registry
705,final,NA,1,5/29/15,final,whois.gtlds.nic.br,registry
706,flsmidth,NA,1,9/25/14,flsmidth,whois.ksregistry.net,registry
707,gea,NA,1,7/9/15,gea,whois.afilias-srs.net,registry
708,ggee,NA,1,12/18/14,ggee,whois.nic.ggee,registry
709,giving,NA,1,6/11/15,giving,whois.nic.giving,registry
710,gle,1,1,9/4/14,gle,domain-registry-whois.l.google.com,registry
711,gmx,NA,1,8/7/14,gmx,whois-fe1.gmx.tango.knipp.de,registry
712,goldpoint,NA,1,2/13/15,goldpoint,whois.nic.goldpoint,registry
713,goog,2,1,1/8/15,goog,domain-registry-whois.l.google.com,registry
714,guge,NA,1,2/19/15,guge,domain-registry-whois.l.google.com,registry
715,hangout,NA,1,1/8/15,hangout,domain-registry-whois.l.google.com,registry
716,homedepot,NA,1,5/29/15,homedepot,whois.afilias-srs.net,registry
717,honda,NA,1,3/6/15,honda,whois.nic.honda,registry
718,hsbc,NA,1,1/15/15,hsbc,whois.nic.hsbc,registry
719,hyundai,NA,1,9/17/15,hyundai,whois.nic.hyundai,registry
720,ibm,NA,1,9/25/14,ibm,whois.nic.ibm,registry
721,icbc,NA,1,4/9/15,icbc,whois.afilias-srs.net,registry
722,icu,NA,1,3/6/15,icu,whois.nic.icu,registry
723,iinet,NA,1,8/18/14,iinet,whois.aridnrs.net.au,registry
724,infiniti,1,1,7/10/14,infiniti,whois.nic.gmo,registry
725,ipiranga,NA,1,4/2/15,ipiranga,whois.nic.ipiranga,registry
726,itau,1,1,5/29/15,itau,whois.nic.itau,registry
727,iwc,NA,1,11/20/14,iwc,whois.nic.iwc,registry
728,java,NA,1,1/15/15,java,whois.nic.java,registry
729,jlc,NA,1,3/12/15,jlc,whois.nic.jlc,registry
730,kddi,NA,1,12/18/14,kddi,whois.nic.kddi,registry
731,kia,NA,1,9/17/15,kia,whois.nic.kia,registry
732,lacaixa,NA,1,7/10/14,lacaixa,whois.nic.lacaixa,registry
733,lasalle,NA,1,6/4/15,lasalle,whois.afilias-srs.net,registry
734,lds,NA,1,10/16/14,lds,whois.afilias-srs.net,registry
735,liaison,NA,1,3/19/15,liaison,whois.nic.liaison,registry
736,lixil,NA,1,7/16/15,lixil,whois.nic.lixil,registry
737,lotte,NA,1,1/8/15,lotte,whois.nic.lotte,registry
738,luxe,NA,1,3/13/14,luxe,whois-dub.mm-registry.com,registry
739,madrid,NA,1,10/2/14,madrid,whois.madrid.rs.corenic.net,registry
740,meet,NA,1,3/20/14,meet,whois.afilias.net,registry
741,montblanc,NA,1,11/20/14,montblanc,whois.nic.montblanc,registry
742,mormon,NA,1,10/16/14,mormon,whois.afilias-srs.net,registry
743,movistar,1,1,6/18/15,movistar,whois-fe.movistar.tango.knipp.de,registry
744,mtpc,NA,1,2/27/15,mtpc,whois.nic.gmo,registry
745,nexus,NA,1,9/4/14,nexus,domain-registry-whois.l.google.com,registry
746,nhk,NA,1,4/24/14,nhk,whois.nic.nhk,registry
747,nissan,NA,1,7/10/14,nissan,whois.nic.gmo,registry
748,office,7,1,6/4/15,office,whois.nic.office,registry
749,panerai,NA,1,2/19/15,panerai,whois.nic.panerai,registry
750,piaget,NA,1,1/8/15,piaget,whois.nic.piaget,registry
751,play,1,1,6/4/15,play,whois.nic.google,registry
752,pohl,NA,1,9/18/14,pohl,whois.ksregistry.net,registry
753,ricoh,NA,1,3/6/15,ricoh,whois.nic.ricoh,registry
754,sakura,NA,1,6/4/15,sakura,whois.nic.sakura,registry
755,sandvikcoromant,NA,1,5/14/15,sandvikcoromant,whois.nic.sandvikcoromant,registry
756,scholarships,NA,1,7/10/14,scholarships,whois.afilias-srs.net,registry
757,scor,NA,1,4/30/15,scor,whois.nic.scor,registry
758,seek,NA,1,4/16/15,seek,whois.nic.seek,registry
759,spiegel,NA,1,6/19/14,spiegel,whois.ksregistry.net,registry
760,starhub,NA,1,5/8/15,starhub,whois.nic.starhub,registry
761,statoil,NA,1,6/11/15,statoil,whois.nic.statoil,registry
762,stc,1,1,8/20/15,stc,whois.centralnic.com,registry
763,stcgroup,NA,1,8/20/15,stcgroup,whois.centralnic.com,registry
764,stockholm,NA,1,9/17/15,stockholm,whois.afilias-srs.net,registry
765,telefonica,5,1,6/18/15,telefonica,whois-fe.telefonica.tango.knipp.de,registry
766,temasek,NA,1,12/18/14,temasek,whois.afilias-srs.net,registry
767,thd,NA,1,5/14/15,thd,whois.afilias-srs.net,registry
768,tui,NA,1,9/18/14,tui,whois.ksregistry.net,registry
769,ubs,NA,1,6/11/15,ubs,whois.nic.ubs,registry
770,viva,NA,1,8/20/15,viva,whois.centralnic.com,registry
771,wtc,NA,1,4/17/14,wtc,whois.nic.wtc,registry
772,�_����_�,NA,1,7/2/15,xn--11b4c3d,whois.nic.xn--11b4c3d,registry
773,��_���,NA,1,7/2/15,xn--3pxu8k,whois.nic.xn--3pxu8k,registry
774,����_���,NA,1,7/2/15,xn--42c2d9a,whois.nic.xn--42c2d9a,registry
775,���_,NA,1,12/12/13,xn--55qw42g,whois.conac.cn,registry
776,_�_�_�,NA,1,7/2/15,xn--9dbq2a,whois.nic.xn--9dbq2a,registry
777,�Ѧ��_,NA,1,3/12/15,xn--9et52u,whois.nic.wang,registry
778,�������,NA,1,12/18/14,xn--b4w605ferd,whois.afilias-srs.net,registry
779,�_�����_�,NA,1,7/2/15,xn--c2br7g,whois.nic.xn--c2br7g,registry
780,������,NA,1,11/20/14,xn--czrs0t,whois.donuts.co,registry
781,�ᴏ��,NA,1,4/23/15,xn--estv75g,whois.afilias-srs.net,registry
782,������,NA,1,7/2/15,xn--fhbei,whois.nic.xn--fhbei,registry
783,���_�,NA,1,10/9/14,xn--flw351e,domain-registry-whois.l.google.com,registry
784,_�____,NA,1,7/2/15,xn--j1aef,whois.nic.xn--j1aef,registry
785,���ȫ,NA,1,7/2/15,xn--mk1bu44c,whois.nic.xn--mk1bu44c,registry
786,�����ϼ�_�,NA,1,2/27/14,xn--nqv7fs00ema,whois.publicinterestregistry.net,registry
787,�_����,NA,1,7/2/15,xn--pssy2u,whois.nic.xn--pssy2u,registry
788,�⡋�_�⡋��,NA,1,10/9/14,xn--qcka1pmc,domain-registry-whois.l.google.com,registry
789,�����,NA,1,7/2/15,xn--t60b56a,whois.nic.xn--t60b56a,registry
790,verm̦gensberater,NA,1,9/18/14,xn--vermgensberater-ctb,whois.ksregistry.net,registry
791,verm̦gensberatung,NA,1,9/18/14,xn--vermgensberatung-pwb,whois.ksregistry.net,registry
792,�_���_,NA,1,11/25/13,xn--vhquv,whois.donuts.co,registry
793,����_�,NA,1,12/12/13,xn--zfr164b,whois.conac.cn,registry
794,yodobashi,NA,1,2/13/15,yodobashi,whois.nic.gmo,registry
795,zuerich,NA,1,12/18/14,zuerich,whois.ksregistry.net,registry
796,cipriani,NA,1,7/30/15,cipriani,whois.afilias-srs.net,registry
797,kinder,NA,1,9/10/15,kinder,whois.nic.kinder,registry
798,moi,1,1,9/10/15,moi,whois.nic.moi,registry
799,virgin,NA,1,9/10/15,virgin,whois.nic.virgin,registry
800,yamaxun,NA,1,9/10/15,yamaxun,whois.nic.yamaxun,registry
801,ferrero,NA,1,9/10/15,ferrero,whois.nic.ferrero,registry
802,vuelos,NA,1,2/19/16,vuelos,whois.nic.vuelos,registry
803,zara,NA,1,9/10/15,zara,whois.afilias-srs.net,registry
804,aramco,NA,1,8/20/15,aramco,whois.nic.aramco,registry
805,gucci,NA,1,3/6/15,gucci,whois.nic.gucci,registry
806,meo,NA,1,1/15/15,meo,whois.nic.meo,registry
807,ping,NA,1,9/24/15,ping,whois.nic.ping,registry
808,sapo,NA,1,1/15/15,sapo,whois.nic.sapo,registry
809,sbs,NA,1,9/24/15,sbs,whois.nic.sbs,registry
810,������������,NA,1,8/20/15,xn--mgba3a3ejt,,registry
811,apple,NA,1,7/2/15,apple,whois.afilias-srs.net,registry
812,beats,NA,1,8/13/15,beats,whois.afilias-srs.net,registry
813,redumbrella,NA,1,11/20/15,redumbrella,whois.afilias-srs.net,registry
814,fairwinds,NA,1,10/29/15,fairwinds,whois.nic.fairwinds,registry
815,playstation,NA,1,9/24/15,playstation,whois.nic.playstation,registry
